Seller City,Order ID,Order Delivered At,Total Weight,Volume,fulfilment_mode_id,Drop Area,Drop City,lat,lng,Pickup Area,Amount,Seller Latitude,Seller Longitude
Karachi,"3,437,289","March 30, 2024",10,0.01,1,KHI 1,Karachi,24.8411191,67.0555026,KHI 1,"1,000",24.804424,67.059560
Karachi,"3,437,297","March 30, 2024",12,0.02,1,KHI 1,Karachi,24.861146632854627,67.21403243020177,KHI 1,"1,930",24.828833,67.141806
Karachi,"3,437,298","March 30, 2024",4.39,0,1,KHI 1,Karachi,24.88370356573865,67.1634473092854,KHI 1,"4,800",24.80822,67.145555
Karachi,"3,437,300","March 30, 2024",65,0.09,1,KHI 1,Karachi,24.87617258120181,67.18957571312785,KHI 1,"32,240",24.892468270148278,67.18547092750669
Karachi,"3,437,300","March 30, 2024",,0.04,1,KHI 1,Karachi,24.87617258120181,67.18957571312785,KHI 1,"11,900",24.892468270148278,67.18547092750669
Karachi,"3,437,302","March 30, 2024",9.6,0.02,1,KHI 1,Karachi,24.87617258120181,67.18957571312785,KHI 1,"4,300",24.80822,67.145555
Karachi,"3,437,091","March 30, 2024",0.08,0,1,KHI 2,Karachi,24.933667789118488,67.01381793245673,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,099","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.885084103901235,67.17538749799132,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,104","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.8156715,67.1672648,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,105","March 30, 2024",0.08,0,1,KHI 2,Karachi,24.928731201093164,66.9949291460216,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,107","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.8235477714623,67.08463294431567,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,108","March 30, 2024",0.08,0,1,KHI 3,Karachi,24.922232,67.083788,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,109","March 30, 2024",0.16,0,1,KHI 1,Karachi,24.830153907394696,67.170285936445,KHI 2,"1,690",24.88563965610987,67.06336273860903
Karachi,"3,437,123","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.848299046854365,67.0536825992167,KHI 2,"1,029",24.88563965610987,67.06336273860903
Karachi,"3,437,126","March 30, 2024",0.16,0,1,KHI 1,Karachi,24.8237339,67.0816203,KHI 2,"1,690",24.88563965610987,67.06336273860903
Karachi,"3,437,131","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.828677849409573,67.10756147280335,KHI 2,845,24.88563965610987,67.06336273860903
Karachi,"3,437,179","March 30, 2024",0.08,0,1,KHI 1,Karachi,24.8337494,67.1729925,KHI 2,"1,029",24.88563965610987,67.06336273860903
Karachi,"3,437,267","March 30, 2024",0.22,0,1,KHI 1,Karachi,24.82752245739274,67.04587770625949,KHI 2,"2,287",24.88563965610987,67.06336273860903
Karachi,"3,437,267","March 30, 2024",0.5,0,1,KHI 1,Karachi,24.82752245739274,67.04587770625949,KHI 2,"3,900",24.88563965610987,67.06336273860903
Karachi,"3,437,274","March 30, 2024",0.08,0,1,KHI 2,Karachi,24.9448813,66.9654268,KHI 2,845,24.88563965610987,67.06336273860903
